File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine
ATL_se0_ag1_m_02_1,621,ATL_se0_ag1_m_02,664.5973,668.2486,3.651299999999992,"I write poetry, you know what I'm saying, and be spitting poetry bars.",1.0
ATL_se0_ag1_m_02_1,679,ATL_int_01,728.5576,733.3821,4.824500000000057,You gotta really be somebody to take it there cause some people scared to take it there with the poetry shit.,1.0
ATL_se0_ag1_m_02_1,717,ATL_se0_ag1_m_02,774.9219,777.2794,2.357499999999959,"it- it may be- you may use poetic terms,",1.0
ATL_se0_ag1_m_02_1,727,ATL_int_01,784.6454,787.5271,2.8817000000000235,"like anything can be a poem if that's the case though, right?",1.0
ATL_se0_ag1_m_02_1,816,ATL_int_01,887.196,888.0416,0.8455999999999904,Gonna be rich.,1.0
ATL_se0_ag1_m_02_1,912,ATL_se0_ag1_m_02,983.6659,985.2023,1.5364000000000715,m- well might as well be great at it.,1.0
ATL_se0_ag1_m_02_1,979,ATL_se0_ag1_m_02,1056.1969,1058.2285,2.031600000000026,"gotta be around 'em, gotta find out.",1.0
ATL_se0_ag1_m_02_1,1049,ATL_se0_ag1_m_02,1134.8986,1135.8524,0.9538000000000011,But I don't be like-,1.0
ATL_se0_ag1_m_02_1,1275,ATL_int_01,1387.6378,1389.3246,1.6867999999999483,"some kids did come to them, be like, oh,",1.0
ATL_se0_ag1_m_02_1,1286,ATL_int_01,1398.3024,1399.4051,1.1026999999999134,That shouldn't even be too-,1.0
ATL_se0_ag1_m_02_1,1298,ATL_se0_ag1_m_02,1408.0913,1410.7916,2.70029999999997,I wasn't supposed to be on that basketball team.,1.0
ATL_se0_ag1_m_02_1,1300,ATL_se0_ag1_m_02,1411.2453,1412.8694,1.6240999999999985,I was supposed to be on the football team.,1.0
ATL_se0_ag1_m_02_1,1370,ATL_int_01,1484.6499,1486.2196,1.5697000000000116,"yeah, they be chop blocking.",1.0
ATL_se0_ag1_m_02_1,1436,ATL_se0_ag1_m_02,1558.4256,1562.5953,4.169699999999921,So when- when- you can only be surprised on how- how surprised people were,1.0
ATL_se0_ag1_m_02_1,1475,ATL_se0_ag1_m_02,1614.4763,1617.0129,2.5365999999999076,cause they already- they looking for me to be a certain person.,1.0
ATL_se0_ag1_m_02_1,1489,ATL_se0_ag1_m_02,1629.3532,1631.0687,1.71550000000002,I'm bound to be great in something else,1.0
ATL_se0_ag1_m_02_1,1528,ATL_se0_ag1_m_02,1685.6005,1688.8473,3.2467999999998938,"I'm paving the way so that way, I can be on some Will and Jada, uh,",1.0
ATL_se0_ag1_m_02_1,1537,ATL_int_01,1697.0179,1697.6881,0.6702000000000226,That'd be lit.,1.0
ATL_se0_ag1_m_02_1,1541,ATL_int_01,1701.4453,1703.0385,1.5932000000000244,"that's what parenting is supposed to be, bruh.",1.0
ATL_se0_ag1_m_02_1,1544,ATL_se0_ag1_m_02,1703.7294,1705.7491,2.019700000000057,"so that way th- you know what I'm saying, my kid can be",1.0
ATL_se0_ag1_m_02_1,1545,ATL_se0_ag1_m_02,1705.9965,1707.038,1.0415000000000418,who he's meant to be,1.0
ATL_se0_ag1_m_02_1,1606,ATL_se0_ag1_m_02,1774.5433,1777.1723,2.6289999999999054,to be able to have opportunity to do more,1.0
ATL_se0_ag1_m_02_1,1616,ATL_se0_ag1_m_02,1785.6639,1787.1203,1.4564000000000306,other people are gonna be,1.0
ATL_se0_ag1_m_02_1,1627,ATL_se0_ag1_m_02,1794.4759,1795.492,1.0161000000000513,"and they be like, okay,",1.0
ATL_se0_ag1_m_02_1,1646,ATL_se0_ag1_m_02,1808.0952,1811.3317,3.236499999999978,"we may get they competitors. We may be fishing for one type of person,",1.0
ATL_se0_ag1_m_02_1,1745,ATL_se0_ag1_m_02,1909.1744,1911.2405,2.066100000000006,"I put it all in there. I be like, yeah I want the-",1.0
ATL_se0_ag1_m_02_1,1916,ATL_int_01,2087.7553,2090.8947,3.1394000000000233,Why Gatorade bottles don't be coming like this for real for real?,1.0
ATL_se0_ag1_m_02_1,2098,ATL_se0_ag1_m_02,2295.1752,2295.9736,0.798399999999674,"niggas be broke,",1.0
ATL_se0_ag1_m_02_1,2100,ATL_se0_ag1_m_02,2296.078,2297.6434,1.5653999999999542,"and they be like, yo hold up.",1.0
