File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L37,L36,L35,L34,L33,L32,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48
ATL_se0_ag1_m_02_1,1370,ATL_int_01,1484.6499,1486.2196,1.5697,"yeah, they be chop blocking.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"yeah,",they,be ,chop,blocking.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1627,ATL_se0_ag1_m_02,1794.4759,1795.492,1.0161,"and they be like, okay,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,they,be ,"like,","okay,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1745,ATL_se0_ag1_m_02,1909.1744,1911.2405,2.0661,"I put it all in there. I be like, yeah I want the-",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,put,it,all,in,there.,I,be ,"like,",yeah,I,want,the-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,1916,ATL_int_01,2087.7553,2090.8947,3.1394,Why Gatorade bottles don't be coming like this for real for real?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Why,Gatorade,bottles,don't,be ,coming,like,this,for,real,for,real?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,2098,ATL_se0_ag1_m_02,2295.1752,2295.9736,0.7984,"niggas be broke,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,niggas,be ,"broke,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_02_1,2100,ATL_se0_ag1_m_02,2296.078,2297.6434,1.5654,"and they be like, yo hold up.",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,they,be ,"like,",yo,hold,up.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,882,ATL_int_01,973.642,975.395,1.753,But LeBron be passing though.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But,LeBron,be ,passing,though.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1280,ATL_int_01,1427.2795,1428.9641,1.6846,"They be shitting on these niggas, man,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,They,be ,shitting,on,these,"niggas,","man,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1284,ATL_se0_ag1_m_03,1430.3356,1431.4647,1.1291,they be shitting on 'em.,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,they,be ,shitting,on,'em.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL_se0_ag1_m_03_1,1736,ATL_se0_ag1_m_03,1956.8836,1957.4493,0.5657,"You be like,",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You,be ,"like,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
