File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,WadaSNRMeade,WadaSNRRigal,NistSNRRigal,SyllableCount,SpeechRate
DCA_se3_ag1_f_04_1,720,DCA_se3_ag1_f_04,781.5161,783.2441,1.728,She done holler at me all the time.,1,1,15.20053563,15.09,6.25,9,5.208333333
DCA_se3_ag1_m_02_1,451,DCA_se3_ag1_m_02,526.1232,527.2016,1.0784,"I've done my best,",1,0,7.244564916,7.11,10.5,4,3.709198813
DCA_se3_ag1_m_02_1,2033,DCA_se3_ag1_m_02,2216.6827,2217.8465,1.1638,I've done some- I've,1,0,14.84014769,14.69,22.25,4,3.43701667
DCA_se3_ag1_m_02_1,2035,DCA_se3_ag1_m_02,2218.6566,2220.2911,1.6345,done some advertise- I've uh,1,0,11.15527026,11.03,4.75,7,4.282655246
DCA_se3_ag1_m_02_1,2546,DCA_se3_ag1_m_02,2711.2359,2714.7042,3.4683,They've done as much as they can. The- Meaning the white man- They've done as much as they can.,2,0,10.01940192,9.98,5.5,20,5.766513854
DCA_se3_ag1_m_02_2,174,DCA_se3_ag1_m_02,172.6847,174.1546,1.4699,"what their ancestors have done,",1,0,10.22065132,10.13,6.25,7,4.762228723
DCA_se3_ag1_m_03_1,368,DCA_se3_ag1_m_03,421.6089,424.2316,2.6227,"about uh, what somebody say had done to him, he could think about",1,0,14.55337593,14.5,23.25,17,6.481869829
DCA_se3_ag1_m_03_1,944,DCA_se3_ag1_m_03,1127.1428,1131.2324,4.0896,"have to stand there, look at the whole problem for about five minutes before she can figure out what she's done wrong.",1,0,15.57834138,15.51,23.75,27,6.602112676
DCA_se3_ag1_m_04_1,72,DCA_se3_ag1_m_04,59.5786,62.7459,3.1673,most of- most of our playing was done in the alley behind our houses.,1,0,12.86428213,12.77,6.75,18,5.683073912
DCA_se3_ag1_m_04_1,2864,DCA_se3_ag1_m_04,2262.7202,2265.7492,3.029,there was no real damage done to the car I think his steering was,1,0,12.62862922,12.58,5.5,16,5.282271377
DCA_se3_ag1_m_05_1,1045,DCA_se3_ag1_m_05,1177.7947,1180.4013,2.6066,Then after you know I'd done my little bit for everybody ,1,0,15.2240692,15.16,16.75,16,6.138264406
