File,Line,Speaker,UttStartTime,UttEndTime,UttLength,Content,InstancesCountPerLine,FeatureCountPerLine,SubjectWordToken,PredicateWordToken,WordPattern,SubjectPOS,PredicatePOS,POSPattern,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L9,L8,L7,L6,L5,L4,L3,L2,L1,ContentFeature,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27
DCB_se1_ag4_f_01_2,1407,DCB_se1_ag4_f_01,1628.1107,1629.1267,1.016,it done got worse.,1,1,it,worse,it_done_worse,PronounPersonal,Adjective,PronounPersonal_done_Adjective,,,,,,,,,,,,,,,,,,,,,,it,done ,got,worse.,,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_f_01_2,1488,DCB_se1_ag4_f_01,1721.6557,1724.9332,3.2775,"Sometime I go- Yeah I done been to the capital I mean,",1,1,I,been,I_done_been,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,Sometime,I,go-,Yeah,I,done ,been,to,the,capital,I,"mean,",,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_m_01_1,3072,DCB_se1_ag4_m_01,3555.3065,3559.6463,4.3398,"Next three years, twenty-five hundred dollars you know, they- they done haven't taken advantage of that you know, so.",1,1,they,have,they_done_have,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,Next,three,"years,",twenty-five,hundred,dollars,you,"know,",they-,they,done ,haven't,taken,advantage,of,that,you,"know,",so.,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_m_02_1,409,DCB_se1_ag4_m_02,589.6227,592.5363,2.9136,But they taking pistols. They done- they done- they done changed that whole crime.,3,1,they,changed,they_done_changed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,But,they,taking,pistols.,They,done-,they,done-,they,done ,changed,that,whole,crime.,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_m_02_1,1215,DCB_se1_ag4_m_02,1627.0847,1630.8587,3.774,"and RD-SCHOOL-2- uh, tried to get on RD-SCHOOL-2 team, but they done told me I couldn't play for both.",1,1,they,told,they_done_told,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,and,RD-SCHOOL-2-,"uh,",tried,to,get,on,RD-SCHOOL-2,"team,",but,they,done ,told,me,I,couldn't,play,for,both.,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_m_02_1,1606,DCB_se1_ag3_m_01,2155.283,2156.274,0.991,You done put in your work.,1,1,you,put,you_done_put,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,You,done ,put,in,your,work.,,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_m_02_1,1770,DCB_se1_ag4_m_02,2366.2428,2371.6865,5.4437,"I'm just- I'm determined- yeah I'm determined- I'm determined to make it. It- you know, I done made it- I made it this far, you know, that's what I'm saying.",1,1,I,made,I_done_made,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,I'm,just-,I'm,determined-,yeah,I'm,determined-,I'm,determined,to,make,it.,It-,you,"know,",I,done ,made,it-,I,made,it,this,"far,",you,"know,",that's,what,I'm,saying.,,,,,,,,,,,,,,
DCB_se1_ag4_m_02_1,1773,DCB_se1_ag4_m_02,2372.1685,2373.4391,1.2706,I done made it to sixty seven.,1,1,I,made,I_done_made,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,I,done ,made,it,to,sixty,seven.,,,,,,,,,,,,,,,,,,,,,,
DCB_se1_ag4_m_02_1,1847,DCB_se1_ag4_m_02,2455.3153,2458.4885,3.1732,"Shit, so I done said- , I walked- no matter where to we have.",1,1,I,said,I_done_said,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,"Shit,",so,I,done ,said-,",",I,walked-,no,matter,where,to,we,have.,,,,,,,,,,,,,,,,,
DCB_se2_ag4_f_01_1,1178,DCB_se2_ag4_f_01,1471.6535,1473.7145,2.061,"Well, so I done survived, and I got 'em through s-",1,1,I,survived,I_done_survived,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,"Well,",so,I,done ,"survived,",and,I,got,'em,through,s-,,,,,,,,,,,,,,,,,,,,
DCB_se2_ag4_f_01_1,3026,DCB_se2_ag4_f_01,3785.0453,3786.4768,1.4315,that you done moved everybody out.,1,1,you,moved,you_done_moved,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,that,you,done ,moved,everybody,out.,,,,,,,,,,,,,,,,,,,,,,,,
DCB_se2_ag4_f_01_1,3028,DCB_se2_ag4_f_01,3786.7986,3789.3445,2.5459,"And you done put bikes on every corner and all of that, and",1,1,you,put,you_done_put,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,And,you,done ,put,bikes,on,every,corner,and,all,of,"that,",and,,,,,,,,,,,,,,,,,
DCB_se2_ag4_f_01_1,3029,DCB_se2_ag4_f_01,3789.6383,3794.328,4.6897,you done put these- ap- overgrown these streets with apartment buildings and condos and,1,1,you,put,you_done_put,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,,you,done ,put,these-,ap-,overgrown,these,streets,with,apartment,buildings,and,condos,and,,,,,,,,,,,,,,,
DCB_se2_ag4_f_05_1,334,DCB_se2_ag4_f_05,511.3305,516.3947,5.0642,that we saw earlier looking prim and proper. Now she done change into something else.,1,1,she,change,she_done_change,PronounPersonal,VerbBase,PronounPersonal_done_VerbBase,,,,,,,,,,,,,that,we,saw,earlier,looking,prim,and,proper.,Now,she,done ,change,into,something,else.,,,,,,,,,,,,,,,,,,,,,,,
DCB_se2_ag4_m_01_1,2339,DCB_se2_ag4_m_01,3083.4172,3086.5904,3.1732,Cause I done killed- I done killed five of my years being in Lorton.,2,2,I,killed,I_done_killed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,,,,Cause,I,done ,killed-,I,done,killed,five,of,my,years,being,in,Lorton.,,,,,,,,,,,,,,,,
DCB_se2_ag4_m_01_1,2339,DCB_se2_ag4_m_01,3083.4172,3086.5904,3.1732,Cause I done killed- I done killed five of my years being in Lorton.,2,2,I,killed,I_done_killed,PronounPersonal,VerbPastParticiple,PronounPersonal_done_VerbPastParticiple,,,,,,,,,,,,,,,,,,Cause,I,done,killed-,I,done ,killed,five,of,my,years,being,in,Lorton.,,,,,,,,,,,,,,,,,,,
DCB_se2_ag4_m_01_1,3062,DCB_se2_ag4_m_01,3971.9842,3973.3741,1.3899,that these kids done have?,1,1,kids,have,kids_done_have,Noun,VerbBase,Noun_done_VerbBase,,,,,,,,,,,,,,,,,,,,that,these,kids,done ,have?,,,,,,,,,,,,,,,,,,,,,,,,,,
